Date,TREAS_3M,GM,F,UTX,CAT,MRK,PFE,IBM,MSFT,C,XOM,SP
02-Jan-04,0.91,46.72,14.55,45.13,39.35,41.76,32.85,89.1,24,44.17,38.31,1108.48
05-Jan-04,0.9,47.55,15.02,45.4,40.42,42.6,33.73,90.56,24.6,44.88,39.2,1122.22
06-Jan-04,0.9,47.26,14.97,45.29,39.7,42.4,33.71,90.57,24.69,44.93,38.94,1123.67
07-Jan-04,0.89,47.91,15.38,45.43,39.27,42.45,34,90.3,24.66,44.99,38.65,1126.33
08-Jan-04,0.86,47.9,15.48,45.38,38.97,42.67,33.68,90.55,24.62,45.18,38.56,1131.92
09-Jan-04,0.85,46.87,14.99,44.73,38.3,41.83,33.32,88.77,24.18,44.97,37.99,1121.86
12-Jan-04,0.88,46.92,14.85,44.45,39.25,40.74,32.91,89.1,24.1,44.94,38.52,1127.23
13-Jan-04,0.87,46.45,14.74,44.67,39.28,40.54,32.47,87.3,23.98,44.71,38.35,1121.22
14-Jan-04,0.86,46.85,14.64,45.84,39.85,41.09,32.48,87.89,24.21,45.07,38.35,1130.52
15-Jan-04,0.86,47.04,14.53,45.63,39.87,40.77,32.18,91.5,24.07,44.62,37.98,1132.05
16-Jan-04,0.87,47.1,14.6,46.63,40.23,41,32.34,92.77,24.31,44.62,38.18,1139.83
20-Jan-04,0.88,46.92,14.67,45.34,39.28,40.81,31.91,94.5,24.56,44.43,38.54,1138.77
21-Jan-04,0.87,47.14,14.88,45.85,39.88,41.05,32.93,95.08,24.74,45.4,39.06,1147.62
22-Jan-04,0.86,47.27,14.87,45.54,40.17,40.93,33.4,94.9,24.49,45.7,38.92,1143.94
23-Jan-04,0.88,46.81,14.33,45.08,40.25,40.63,33.4,95.28,24.9,45.36,38.69,1141.55
26-Jan-04,0.89,46.84,14.45,45.54,40.65,41.89,34.04,97.18,25.18,45.91,39.17,1155.37
27-Jan-04,0.89,46.53,14.43,45.85,39.21,42.04,33.45,96.15,24.7,45.14,38.83,1144.05
28-Jan-04,0.92,45.7,14.19,45.6,38.07,42.51,33.13,94.77,24.22,44.38,38.48,1128.48
29-Jan-04,0.92,44.17,13.52,45.56,36.94,42.85,33.92,95.39,24.4,44.97,39.1,1134.11
30-Jan-04,0.9,43.27,13.24,45.69,37.36,42.25,33.85,96.57,24.17,44.97,38.46,1131.13
02-Feb-04,0.93,42.42,12.71,46.01,37.05,42.67,34.57,96.73,23.95,44.74,38.36,1135.26
03-Feb-04,0.92,41.69,12.5,45.98,36.84,43.05,34.85,97.32,23.86,44.43,38.1,1136.03
04-Feb-04,0.92,41.79,12.65,45.02,36.29,43.44,35.36,97.51,23.61,44.14,38.04,1126.52
05-Feb-04,0.92,42.26,12.89,45.19,36.5,43.26,35.48,96.21,23.57,43.73,38.07,1128.59
06-Feb-04,0.91,42.37,13.01,45.11,37.54,43.28,35.9,96.45,23.67,44.82,38.19,1142.76
09-Feb-04,0.93,42.78,12.9,45.37,37.14,42.75,35.2,96.46,23.52,44.67,38.64,1139.81
10-Feb-04,0.93,42.92,13.11,45.72,36.61,42.96,35.15,97.1,23.62,44.46,38.98,1145.54
11-Feb-04,0.91,43.82,13.33,45.77,37.76,43.15,35.41,97.44,23.73,45.19,39.77,1157.76
12-Feb-04,0.91,43.6,13.25,45.49,37.63,42.88,35.02,96.8,23.56,45,39.76,1152.11
13-Feb-04,0.9,43.01,13.08,45.26,37.02,43.38,34.7,97.2,23.24,44.98,39.76,1145.81
17-Feb-04,0.93,43.54,13.28,45.69,38.03,43.37,35.04,96.87,23.59,45.35,40.06,1156.99
18-Feb-04,0.92,43.02,13.11,46.73,37.73,43.56,34.73,95.94,23.4,45.04,39.65,1151.82
19-Feb-04,0.92,43.65,13.16,46.68,37.55,43.37,34.6,95.34,23.13,44.64,39.8,1147.06
20-Feb-04,0.92,42.69,12.91,46.38,36.73,42.88,34.6,94.86,23.23,44.43,39.87,1144.11
23-Feb-04,0.95,41.81,12.73,45.02,36.93,43.08,34.39,93.54,23.26,44.83,40.39,1140.99
24-Feb-04,0.95,41.73,12.38,44.08,36.68,43.05,34.5,94.35,23.5,44.93,40.14,1139.09
25-Feb-04,0.94,42.16,12.44,44.3,36.91,42.51,34.58,94.11,23.34,45.3,40.46,1143.67
26-Feb-04,0.94,42.05,12.44,43.14,37.27,42.28,34.47,94.35,23.17,45.44,40.14,1144.91
27-Feb-04,0.94,42.35,12.52,44.21,36.22,42.67,34.02,94.07,23.19,45.68,40,1144.94
01-Mar-04,0.95,42.81,12.74,44.26,36.74,43,34.25,94.59,23.34,45.86,40.34,1155.97
02-Mar-04,0.95,42.77,12.86,43.34,37.1,42.38,34.02,94.38,23.07,45.23,39.88,1149.1
03-Mar-04,0.95,42.2,12.64,43.45,36.97,42.14,34.31,94.4,23.05,45.28,39.75,1151.03
04-Mar-04,0.94,42.5,12.47,43.31,36.77,42.74,34.69,93.96,23.05,44.88,39.61,1154.87
05-Mar-04,0.93,42.57,12.84,43.15,36.52,43.03,34.5,94.02,23.03,45.44,40.31,1156.86
08-Mar-04,0.95,41.91,12.48,43.42,36.77,42.64,34.82,92.21,22.58,45.39,40.37,1147.2
09-Mar-04,0.94,41.17,12.32,42.6,36.53,42.29,34.62,92.15,22.48,45.3,40.58,1140.58
10-Mar-04,0.94,40.55,12.01,41.81,35.15,41.28,33.76,90.71,22.18,44.73,40.25,1123.89
11-Mar-04,0.95,39.51,11.86,41.1,34.98,40.24,32.71,88.91,21.93,44.19,39.23,1106.78
12-Mar-04,0.94,39.94,12.1,41.93,35.83,40.39,32.76,90.95,22.19,44.82,39.87,1120.57
15-Mar-04,0.95,39.57,11.86,42.19,35.38,40.12,32.44,89.51,21.99,44.64,39.63,1104.49
16-Mar-04,0.94,40.06,11.91,42.26,36.03,40.35,32.88,90.12,22.01,45.43,39.91,1110.7
17-Mar-04,0.92,40.91,12.18,42.62,36.93,39.71,32.4,91.04,21.97,46.19,40.07,1123.75
18-Mar-04,0.92,40.78,12.13,42.16,36.92,39.87,32.21,90.51,21.76,46.61,40.28,1122.32
19-Mar-04,0.92,39.69,11.9,40.99,36.49,39.15,31.51,89.31,21.53,45.75,39.37,1109.78
22-Mar-04,0.94,39.61,11.76,40.49,36.1,38.98,31.28,88.73,21.42,45.09,38.84,1095.4
23-Mar-04,0.93,39.67,11.74,40.5,36.27,39.31,31.69,89.02,21.11,45.26,38.67,1093.95
24-Mar-04,0.92,39.78,11.83,40.34,36.5,38.47,31.73,89.46,21.34,45.25,38.04,1091.33
25-Mar-04,0.94,40.14,12,41.23,36.89,39.08,31.85,90.06,22.02,45.68,38.18,1109.19
26-Mar-04,0.93,40.28,12.1,41.42,37.03,39.36,31.83,90.43,21.88,45.5,38.65,1108.06
29-Mar-04,0.95,41.01,12.21,41.21,38.01,39.87,32.51,90.34,22.13,46.64,38.98,1122.47
30-Mar-04,0.94,41.89,12.43,41.16,38.26,39.45,32.62,89.99,22.03,47.21,39.42,1127
31-Mar-04,0.93,41.58,12.36,41.42,37.81,39.53,32.53,89.53,21.79,46.99,39.45,1126.21
01-Apr-04,0.92,41.44,12.22,41.56,37.78,40.06,33.04,90.04,21.92,47.52,39.39,1132.17
02-Apr-04,0.93,41.01,12.44,42.12,38.83,40.31,33.42,91.83,22.6,47.08,39.76,1141.81
05-Apr-04,0.93,41.93,12.82,42.83,39.41,40.51,33.54,91.81,22.68,47.47,40.08,1150.57
06-Apr-04,0.92,42.03,12.75,43.08,39.65,40.39,33.23,91.34,22.55,47.48,40.02,1148.16
07-Apr-04,0.93,41.1,12.45,43.29,39.26,40.11,33.11,90.73,22.37,47,39.75,1140.53
08-Apr-04,0.92,40.94,12.38,43.1,39.2,39.92,33.05,90.77,22.27,46.83,40.27,1139.32
12-Apr-04,0.93,41.16,12.47,42.81,40.05,40.15,33.11,91.38,22.39,47.32,40.9,1145.2
13-Apr-04,0.93,40.74,12.21,42.28,39.22,39.88,32.85,90.7,22.25,46.53,40.62,1129.44
14-Apr-04,0.94,40.44,12.06,42.32,38.75,40.65,33.24,91.34,22.3,46.31,41.08,1128.17
15-Apr-04,0.93,39.94,11.95,42.31,38.64,42.02,34.66,91.09,22.05,45.37,41.44,1128.84
16-Apr-04,0.92,40.63,12.15,42.59,39.2,42.11,34.92,89.95,21.99,45.53,41.61,1134.61
19-Apr-04,0.95,40.61,12.16,42.34,38.73,41.99,34.88,89.62,22.32,45.42,41.48,1135.82
20-Apr-04,0.96,42.04,12.35,41.99,38.25,41.33,34.07,88.37,22.14,44.73,41.08,1118.15
21-Apr-04,0.98,42.48,13.61,40.81,38.77,41.59,34.25,88.96,22.25,44.66,40.74,1124.09
22-Apr-04,0.95,42.98,14.36,42.1,40.4,41.81,33.92,88.45,22.68,45.13,41.08,1139.93
23-Apr-04,0.96,43.28,14.3,42.69,39.37,41.83,33.81,88.98,24.07,44.7,40.76,1140.6
26-Apr-04,0.98,43.41,14.29,42.96,38.86,41.72,33.69,88.15,23.81,44.53,40.8,1135.53
27-Apr-04,0.97,43.56,14.6,43.17,39.3,42.26,33.82,88.81,23.8,44.5,41.5,1138.11
28-Apr-04,0.96,42.68,14.21,42.75,38.29,42.43,33.3,88.13,23.22,44.02,40.91,1122.41
29-Apr-04,0.95,41.91,14.09,41.75,37.27,42.02,33.02,86.84,23.15,44.14,40.36,1113.89
30-Apr-04,0.96,41.73,14.08,41.41,37.34,42.04,33.19,85.95,22.84,44.07,40.37,1107.3
03-May-04,0.99,42.5,14,41.74,38.13,42.67,33.62,85.8,23.03,44.5,41.44,1117.49
04-May-04,0.99,42.19,14.12,41.45,37.95,42.8,33.98,86.76,23.02,44.76,41.29,1119.55
05-May-04,0.97,41.85,13.86,41.34,37.85,42.77,34,86.72,22.99,44.57,41.73,1121.53
06-May-04,0.98,40.72,13.65,41.14,37.4,43.03,33.93,86.31,22.83,43.54,41.58,1113.99
07-May-04,1.05,39.25,13.2,40.89,37.05,42.68,33.75,86.14,22.54,42.82,41.03,1098.7
10-May-04,1.07,38.75,12.84,39.97,35.01,41.78,33.42,84.86,22.67,41.62,39.89,1087.12
